No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kekampus (Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,,,,,,,,,,,
26,WIDIA WATI,Bimbingan dan Konseling | Reguler,P,Dekat,SMK YASMIDA AMBARAWA,2020,21,Tidak,Ikut,3.62,Petani,Tinggi,3,Tidak,,,,,,,,,,,
27,ANGGI AHMAD SARLADI,Bimbingan dan Konseling | Reguler,L,Dekat,MA MATHLAUL ANWAR GISTING,2020,21,Tidak,Ikut,3.62,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
28,SYARAH AULIA,D III Keperawatan | Reguler,P,Jauh,SMA MUHAMMADIYAH 01 MESUJI TIMUR,2020,21,Tidak,Ikut,3.29,Wiraswasta,Tinggi,1,Tidak,,,,,,,,,,,
29,NILA KARMILA,D III Keperawatan | Reguler,P,Dekat,SMA N 1 SEMAKA,2020,21,Ikut,Ikut,3.71,Wiraswasta,Tinggi,1,Tidak,,,,,,,,,,,
30,SINTA CAROLLINA,D III Keperawatan | Reguler,P,Dekat,MA PONPES AL-MUHSIN METRO,2020,21,Ikut,Ikut,2.81,Petani,Rendah,3,Tidak,,,,,,,,,,,
31,MIFTAHUL KHASANAH,D III Keperawatan | Reguler,P,Dekat,SMA N 1KOTAAGUNG,2020,21,Ikut,Ikut,3.33,Petani,Tinggi,2,Tidak,,,,,,,,,,,
32,FARHAN AGUNG AVIANTO,D III Keperawatan | Reguler,L,Dekat,SMA NEGERI 01 GUNUNG ALIP,2020,21,Tidak,Ikut,2.9,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
33,RIA MUSTIKA,D III Keperawatan | Reguler,P,Jauh,SMAN 1 KIKIM TIMUR,2020,21,Tidak,Ikut,3.52,Pedagang,Rendah,2,Tidak,,,,,,,,,,,
34,SAHRUL ARDIANSYAH,D III Keperawatan | Reguler,L,Dekat,MAN 2 BANDARLAMPUNG,2020,21,Tidak,Ikut,3.57,PNS,Tinggi,2,Tidak,,,,,,,,,,,
35,KURNIA APNI PRAHITA,D III Keperawatan | Reguler,P,Dekat,SMAN 2 PUNDUH PIDADA,2020,21,Tidak,Ikut,3.38,Buruh,Rendah,2,Tidak,,,,,,,,,,,
36,INDI KURNIA ASTUTI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,21,Tidak,Ikut,3.38,PNS,Tinggi,1,Tidak,,,,,,,,,,,
37,LAILI FITRIA,D III Keperawatan | Reguler,P,Jauh,SMAN 4 BANDAR LAMPUNG,2020,21,Tidak,Ikut,3.29,PNS,Tinggi,2,Tidak,,,,,,,,,,,
38,MELINDA WINI ARIANTI,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 KALIREJO,2020,21,Tidak,Ikut,3.9,PNS,Tinggi,1,Tidak,,,,,,,,,,,
39,DWI AJENG PRAWINDA,D III Keperawatan | Reguler,P,Dekat,SMAN 1 KALIREJO,2020,21,Tidak,Ikut,3.38,PNS,Sedang,4,Tidak,,,,,,,,,,,
40,DENI MUTIARA SENJA,D III Keperawatan | Reguler,P,Jauh,SMK YPIB KOTABUMI,2020,21,Tidak,Ikut,3.79,Petani,Sedang,4,Terima,,,,,,,,,,,
41,WINDA ANTIKA,D III Keperawatan | Reguler,P,Jauh,SMAN 1 MERKASA AJI,2020,21,Tidak,Ikut,3.38,PNS,Tinggi,3,Tidak,,,,,,,,,,,
42,GITA TRI ANDINI,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,21,Tidak,Ikut,3.48,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
43,IRGZI AULIA HAQ,D III Keperawatan | Reguler,P,Jauh,SMAN 1 CANDIPURO,2020,21,Tidak,Ikut,3.52,Wiraswasta,Rendah,3,Tidak,,,,,,,,,,,
44,YURIKA,D III Keperawatan | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020,21,Tidak,Ikut,3.33,Petani,Rendah,3,Tidak,,,,,,,,,,,
45,TRIA ULLY VIANA,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 BANGUNREJO,2020,21,Tidak,Ikut,3.43,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
46,AMANAH ALFI HASANAH,D III Keperawatan | Reguler,P,Dekat,SMA ISLAM KEBUMEN,2020,21,Tidak,Ikut,3.38,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
47,ELISA SETIAWATI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 PRINGSEWU,2020,21,Tidak,Ikut,3.4,Wiraswasta,Rendah,3,Tidak,,,,,,,,,,,
48,SRI AYU NINGSIH,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 KALIANDA,2020,21,Tidak,Ikut,3.57,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
49,INTAN SYA DEWI,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,21,Tidak,Ikut,3.75,Petani,Rendah,3,Terima,,,,,,,,,,,
50,TARISYA CINDY NATASYA,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 WAY JEPARA,2020,21,Tidak,Ikut,3.57,PNS,Tinggi,2,Tidak,,,,,,,,,,,
51,YANTI TAMARA,D III Keperawatan | Reguler,P,Dekat,SMA N 01 SUKOHARJO,2020,21,Tidak,Ikut,3.29,PNS,Tinggi,2,Tidak,,,,,,,,,,,
52,DONI ROMANSYAH,D III Keperawatan | Reguler,L,Dekat,SMKN 1 KOTAAGUNG BARAT,2020,21,Tidak,Ikut,2.62,Petani,Sedang,2,Tidak,,,,,,,,,,,
53,HELEN RESTUNI,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,21,Tidak,Ikut,3.71,PNS,Sedang,1,Tidak,,,,,,,,,,,
54,GADIS MARVINDA PURI,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 2 KALIANDA,2020,21,Tidak,Ikut,3.67,Buruh,Rendah,2,Tidak,,,,,,,,,,,
55,SEPTY HAYATUN NUFUSH,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 26 BANDUNG,2020,21,Tidak,Ikut,3.38,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
56,NINDIYA META CLAUDINA,D III Keperawatan | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,21,Tidak,Ikut,3.52,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
57,SEKAR AYU LINTANG SARI,D III Keperawatan | Reguler,P,Jauh,SMK YPIB KOTABUMI,2020,21,Tidak,Ikut,3.52,Buruh,Rendah,2,Tidak,,,,,,,,,,,
58,RISNA WARDANI,D III Keperawatan | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020,21,Tidak,Ikut,3.38,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
59,DEVI EKA SAPUTRI,D III Keperawatan | Reguler,P,Jauh,SMK YPIB KOTABUMI,2020,21,Tidak,Ikut,2.9,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
60,NABILA OKTAVIANI,D III Keperawatan | Reguler,P,Dekat,SMKS AL-QOLAM,2020,21,Tidak,Ikut,3,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
61,RIA ANGGREINI PUSPITA SARI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 SUKOHARJO,2020,21,Tidak,Ikut,3.29,Buruh,Tinggi,2,Tidak,,,,,,,,,,,
62,ELA NURAINI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,21,Tidak,Ikut,2.71,PNS,Sedang,3,Tidak,,,,,,,,,,,
63,MUHAMMAD KADAPI,D III Keperawatan | Reguler,L,Jauh,SMK KESEHATAN HAMPAR BAIDURI KALIANDA,2020,21,Tidak,Ikut,3.57,Petani,Rendah,2,Tidak,,,,,,,,,,,
64,DWI NURHADI.MH,D III Keperawatan | Reguler,L,Jauh,SMA NEGERI 1 PULAU PANGGUNG,2020,21,Ikut,Ikut,3.33,Petani,Sedang,3,Tidak,,,,,,,,,,,
65,KHARISMA WULAN DANI,D III Keperawatan | Reguler,P,Dekat,SMA MUH PRINGSEWU,2020,21,Tidak,Ikut,3.48,Petani,Sedang,2,Tidak,,,,,,,,,,,
66,SENJA SAFITRI,D III Keperawatan | Reguler,P,Jauh,SMK N 1 TALANG PADANG,2020,21,Tidak,Ikut,3.38,Petani,Rendah,1,Tidak,,,,,,,,,,,
67,MELINDA MURIYANI,D III Keperawatan | Reguler,P,Jauh,SMKN 1 BANDAR LAMPUNG,2020,21,Tidak,Ikut,3.71,Petani,Sedang,1,Terima,,,,,,,,,,,
68,RIZA CHANDRA KURNIAWAN,D III Keperawatan | Reguler,L,Dekat,SMK HAMPAR BAIDURI,2020,21,Tidak,Ikut,3.33,PNS,Sedang,3,Tidak,,,,,,,,,,,
69,USWATUN KHASANAH,D III Keperawatan | Reguler,P,Jauh,SMA N 2 LIWA,2020,21,Tidak,Ikut,3.9,PNS,Tinggi,1,Tidak,,,,,,,,,,,
70,ADELIA NURTI DARAWATI,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 KALIANDA,2020,21,Tidak,Ikut,3.57,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
71,AFRIDA METASARI,D III Keperawatan | Reguler,P,Dekat,SMAN 1 KEDONDONG,2020,21,Tidak,Ikut,3.24,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
72,MUTIARA RIZKY,D III Keperawatan | Reguler,L,Dekat,SMA MUHAMMADIYAH KOTA AGUNG,2020,21,Tidak,Ikut,3.43,Karyawan Swasta,Tinggi,2,Tidak,,,,,,,,,,,
73,FITRIYANI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 LIMAU,2020,21,Tidak,Ikut,3.81,Buruh,Rendah,2,Terima,,,,,,,,,,,
74,RIRIN AYU PUTRI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 1 PUBIAN,2020,21,Tidak,Ikut,3.48,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
75,YESSA YESIKA ROSALIA,D III Keperawatan | Reguler,P,Dekat,SMK MAARIF BANYUMAS,2020,21,Tidak,Ikut,3.38,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
76,RIZKI RAHMAN,D III Keperawatan | Reguler,L,Jauh,MAN 1 OKU SELATAN,2020,21,Tidak,Ikut,3.52,PNS,Sedang,2,Tidak,,,,,,,,,,,
77,MAULIDA SAYEKTI UTAMI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 PRINGSEWU,2020,21,Tidak,Ikut,3.24,PNS,Rendah,4,Tidak,,,,,,,,,,,
78,RANGGA YUNIZAR,D III Keperawatan | Reguler,L,Dekat,SMK WIDYA YAHYA,2020,21,Tidak,Ikut,3.76,Karyawan Swasta,Sedang,3,Terima,,,,,,,,,,,
79,FENIA BRILIANTI,D III Keperawatan | Reguler,P,Dekat,SMK MA'ARIF PRINGSEWU,2020,19,Tidak,Ikut,3.47,PNS,Tinggi,3,Tidak,,,,,,,,,,,
80,UMI NUR JANNAH,D III Keperawatan | Reguler,P,Dekat,SMAN 1 KALIREJO,2020,19,Tidak,Ikut,3.6,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
81,NURROZA ARFUAH,D III Keperawatan | Reguler,P,Dekat,SMAN 1 PADANG CERMIN,2020,19,Tidak,Ikut,3.3,Buruh,Sedang,3,Tidak,,,,,,,,,,,
82,NOVIA APRIYANTI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,19,Tidak,Ikut,3.37,Buruh,Rendah,3,Tidak,,,,,,,,,,,
83,QORINA AULIA UMAMI,D III Keperawatan | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,19,Tidak,Ikut,3.46,Buruh,Sedang,3,Tidak,,,,,,,,,,,
84,CHINTIA INKA NURIAH,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 GEDONG TATAAN,2020,19,Tidak,Ikut,3.59,Buruh,Sedang,3,Tidak,,,,,,,,,,,
85,FAQIH YUSUF,D III Keperawatan | Reguler,L,Jauh,SMA N 1 SUMBEREJO,2020,19,Tidak,Ikut,3.47,Buruh,Sedang,3,Tidak,,,,,,,,,,,
86,NOVITA CINTIA NINGRUM,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 PAGELARAN,2020,19,Tidak,Ikut,3.43,Wiraswasta,Rendah,1,Tidak,,,,,,,,,,,
87,FAJAR TRI NURYATI,D III Keperawatan | Reguler,L,Dekat,PONDOK MODERN DARUSSALAM GONTOR,2020,19,Tidak,Ikut,2.89,Petani,Tinggi,2,Tidak,,,,,,,,,,,
88,LULLI AFTIKARNILA,D III Keperawatan | Reguler,P,Dekat,SMA N 01 PENAWAR AJI,2020,19,Tidak,Ikut,3.34,Petani,Rendah,2,Tidak,,,,,,,,,,,
89,SILVA ANGGRAINI,D III Keperawatan | Reguler,P,Dekat,SMA MUHAMMADIYAH 2 BANDAR LAMPUNG,2020,19,Tidak,Ikut,2.61,Petani,Tinggi,2,Tidak,,,,,,,,,,,
90,TAMAM FIKRI KHOIRUZ ZAD,D III Keperawatan | Reguler,L,Dekat,SMAN 9 BANDAR LAMPUNG,2020,19,Ikut,Ikut,3.4,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
91,AMELIA DEWI,D III Keperawatan | Reguler,P,Dekat,SMA NEGERI 1 SEPUTIH SURABAYA,2020,19,Tidak,Ikut,2.75,Buruh,Tinggi,1,Tidak,,,,,,,,,,,
92,SABRINA AMALIA DIFANI,D III Keperawatan | Reguler,P,Dekat,SMK KESEHATAN MITRA BANGSA TULANG BAWANG,2020,19,Tidak,Ikut,2.32,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
93,ARIF CANDRA PRATAMA,D III Keperawatan | Reguler,L,Dekat,SMAN 1 BANGUNREJO,2020,19,Tidak,Ikut,3.61,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
94,IBNU ERLANGGA,D III Keperawatan | Reguler,L,Dekat,SMAN 1 BULOK,2020,19,Tidak,Ikut,3.8,Petani,Sedang,2,Terima,,,,,,,,,,,
95,HASRI YANI,D III Keperawatan | Reguler,P,Jauh,SMA N 1 SUNGKAI UTARA,2020,19,Tidak,Ikut,3.65,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
96,KHARISMA SEPTIA NINGRUM,D III Keperawatan | Reguler,P,Dekat,MA MA'ARIF 1 PUNGGUR,2020,19,Tidak,Ikut,3.42,Wiraswasta,Rendah,1,Tidak,,,,,,,,,,,
97,FARHAN MEIDIANTORO,D III Keperawatan | Reguler,L,Dekat,MA MA'ARIF 1 PUNGGUR,2020,19,Tidak,Ikut,3.38,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
98,DEVI KHOIRUNNISA,D III Keperawatan | Reguler,P,Dekat,SMK FARMASI TUNAS BANGSA,2020,19,Tidak,Ikut,3.68,Wiraswasta,Rendah,3,Tidak,,,,,,,,,,,
99,EGA RENATA ABUN,D III Keperawatan | Reguler,P,Dekat,SMAN 1 PAGELARAN,2020,19,Tidak,Ikut,3.22,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
100,MASYKUR ALBANIN,D III Keperawatan | Reguler,L,Jauh,SMAN 1 TERBANGGI BESAR,2020,19,Tidak,Ikut,1.68,Petani,Sedang,3,Tidak,,,,,,,,,,,
101,KURNIA DEWI,D III Keperawatan | Reguler,P,Dekat,MA PLUS WALISONGO LAMPUNG UTARA,2020,19,Tidak,Ikut,3.13,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
102,VARADHITA AULYA SARI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 PULAU PANGGUNG,2020,19,Tidak,Ikut,3.67,PNS,Sedang,1,Tidak,,,,,,,,,,,
103,FIRANETA RIVANTI,D III Keperawatan | Reguler,P,Dekat,SMA N 1 LIWA,2020,19,Tidak,Ikut,3.8,PNS,Rendah,4,Terima,,,,,,,,,,,
104,FANI LIA SARI,D III Keperawatan | Reguler,P,Jauh,MAN 1 PESAWARAN,2020,19,Tidak,Ikut,3.65,Petani,Tinggi,1,Tidak,,,,,,,,,,,
105,SEKAR DAFA SETIA NINGRUM,D III Keperawatan | Reguler,P,Jauh,SMA NEGERI 1 PADANG CERMIN,2020,19,Tidak,Ikut,3.62,Petani,Tinggi,1,Tidak,,,,,,,,,,,
106,DIVA ANNISA AZZAHRA,DIII Kebidanan | Reguler,P,Dekat,SMAN 1 LIWA,2020,19,Tidak,Ikut,3.37,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
107,AHMAD IHZA MAHENDRA,DIII Kebidanan | Reguler,L,Dekat,SMAN 1 PRINGSEWU,2020,19,Tidak,Ikut,3.48,Petani,Sedang,2,Tidak,,,,,,,,,,,
108,SITI LUTFIATI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGERI 1 GUNUNG SUGIH,2020,19,Tidak,Ikut,3.13,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
109,LARAS PUTRI ANDINI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGRI 2 KOTAAGUNG,2020,19,Tidak,Ikut,3.26,Buruh,Tinggi,2,Tidak,,,,,,,,,,,
110,PUTRI DINDA LESTARI,DIII Kebidanan | Reguler,P,Jauh,SMA N 1 BANDAR MATARAM,2020,19,Tidak,Ikut,3.52,Karyawan Swasta,Sedang,2,Tidak,,,,,,,,,,,
111,SUCI NURHAYATI,DIII Kebidanan | Reguler,P,Dekat,SMA N 1 SENDANG AGUNG,2020,19,Tidak,Ikut,3.39,Petani,Rendah,2,Tidak,,,,,,,,,,,
112,NURHASANAH,DIII Kebidanan | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020,19,Tidak,Ikut,2.7,Petani,Rendah,1,Tidak,,,,,,,,,,,
113,MUTIARA INDAH,DIII Kebidanan | Reguler,P,Dekat,SMA N 7 BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.11,Petani,Rendah,2,Tidak,,,,,,,,,,,
114,INTANG AULIA,DIII Kebidanan | Reguler,P,Dekat,SMK SMTI BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.48,Petani,Rendah,2,Tidak,,,,,,,,,,,
115,BUNGA AMELIA CITRA,DIII Kebidanan | Reguler,P,Dekat,MAN 1 TANGGAMUS,2020,19,Tidak,Ikut,3.44,Wiraswasta,Sedang,4,Tidak,,,,,,,,,,,
116,VIRGIN ANA EKARANI,DIII Kebidanan | Reguler,P,Jauh,SMA N 01 WAY TENONG,2020,19,Tidak,Ikut,3.68,PNS,Tinggi,3,Tidak,,,,,,,,,,,
117,CHINDY AYU LESTARI,DIII Kebidanan | Reguler,P,Dekat,SMKN 1 WAY TENONG,2020,19,Tidak,Ikut,3.28,Petani,Tinggi,3,Tidak,,,,,,,,,,,
118,ADINDA DWI LESTARI,DIII Kebidanan | Reguler,P,Dekat,SMA N 2 KALIANDA,2020,19,Tidak,Ikut,3.46,Buruh,Tinggi,3,Tidak,,,,,,,,,,,
119,HANI ALFAIDA,DIII Kebidanan | Reguler,P,Jauh,SMK YP 96 BUKIT KEMUNING,2020,19,Tidak,Ikut,3.59,PNS,Sedang,3,Tidak,,,,,,,,,,,
120,FAHULIA USWATUN HASANAH,DIII Kebidanan | Reguler,P,Jauh,SMA NEGRI 1 KOTA METRO,2020,19,Tidak,Ikut,3.79,Petani,Tinggi,3,Tidak,,,,,,,,,,,
121,NESIA ARIBAH AZHARA,DIII Kebidanan | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020,19,Tidak,Ikut,3.47,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
122,DEFA KURNIA IRAWATI,DIII Kebidanan | Reguler,P,Dekat,SMAN 17 BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.09,PNS,Tinggi,3,Tidak,,,,,,,,,,,
123,LUTFIA QISTI AWALIN,DIII Kebidanan | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020,19,Tidak,Ikut,3.08,Karyawan Swasta,Rendah,3,Tidak,,,,,,,,,,,
124,ORIZA NOFANDI ALFIRDAUS,DIII Kebidanan | Reguler,L,Dekat,SMK YPIB KOTABUMI,2020,19,Tidak,Ikut,3.4,PNS,Tinggi,1,Tidak,,,,,,,,,,,
125,SELARAS ROYAN SARI,DIII Kebidanan | Reguler,P,Dekat,SMA PERSADA BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.46,PNS,Tinggi,2,Tidak,,,,,,,,,,,
126,DINI KANIA,DIII Kebidanan | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020,19,Tidak,Ikut,2.96,PNS,Sedang,2,Tidak,,,,,,,,,,,
127,VITA HANDAYANI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGERI 1 KALIANDA,2020,19,Tidak,Ikut,3.18,Petani,Tinggi,2,Tidak,,,,,,,,,,,
128,SEPTI DIAN SAPUTRI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGERI 1 KOTA AGUNG,2020,19,Tidak,Ikut,3.28,Petani,Sedang,2,Tidak,,,,,,,,,,,
129,RANDA MULYO JATI,DIII Kebidanan | Reguler,L,Dekat,MAN 1 PRINGSEWU,2020,19,Tidak,Ikut,3.13,Petani,Rendah,1,Tidak,,,,,,,,,,,
130,SRI AGUS SETIYOWATI,DIII Kebidanan | Reguler,P,Dekat,SMA N 16 BANDAR LAMPUNG,2020,19,Ikut,Ikut,3.86,Nelayan,Rendah,3,Terima,,,,,,,,,,,
131,MAULIDDIAH WULANDARI,DIII Kebidanan | Reguler,P,Dekat,SMK NEGERI 2 METRO,2020,19,Ikut,Ikut,3.43,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
132,MEI PUTRI ANGGRAINI,DIII Kebidanan | Reguler,P,Dekat,SMAN 1 LIMAU,2020,19,Tidak,Ikut,3.17,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
